,Name,Club_Position,Height,Weight
0,Cristiano Ronaldo,ataque,185,80
1,Lionel Messi,ataque,170,72
2,Neymar,ataque,174,68
3,Luis Suárez,ataque,182,85
6,Robert Lewandowski,ataque,185,79
7,Gareth Bale,ataque,183,74
8,Zlatan Ibrahimović,ataque,195,95
11,Eden Hazard,ataque,173,74
12,Luka Modrić,central,174,65
13,Mesut Özil,ataque,180,76
14,Gonzalo Higuaín,ataque,184,92
15,Thiago Silva,defensa,183,79
16,Sergio Ramos,defensa,183,75
17,Sergio Agüero,ataque,173,70
18,Paul Pogba,central,191,84
19,Antoine Griezmann,ataque,176,67
20,Kevin De Bruyne,central,181,68
21,Marco Reus,ataque,182,76
22,Alexis Sánchez,ataque,169,62
23,Toni Kroos,central,182,78
24,Diego Godín,defensa,185,73
25,Mats Hummels,defensa,191,92
27,Giorgio Chiellini,defensa,187,84
28,Philipp Lahm,defensa,170,66
29,Pepe,defensa,188,81
32,Iniesta,central,171,68
34,James Rodríguez,ataque,180,75
35,Pierre-Emerick Aubameyang,ataque,187,80
36,Leonardo Bonucci,defensa,190,85
37,Arturo Vidal,central,180,75
38,Ivan Rakitić,ataque,184,78
39,David Silva,central,173,67
41,Piqué,defensa,193,85
42,Arjen Robben,central,180,80
43,Paulo Dybala,ataque,177,74
44,Marco Verratti,central,165,60
45,David Alaba,defensa,180,76
46,Henrikh Mkhitaryan,ataque,177,75
48,Thomas Müller,ataque,186,75
49,Sergio Busquets,central,189,76
50,Thiago,central,174,70
51,Jordi Alba,defensa,170,68
52,Coutinho,ataque,171,68
53,Ángel Di María,ataque,180,75
54,Diego Costa,ataque,188,85
55,Edinson Cavani,ataque,184,71
56,Radja Nainggolan,central,176,65
57,Marcelo,defensa,174,75
59,Miranda,defensa,186,78
60,Karim Benzema,ataque,187,79
65,Harry Kane,ataque,188,86
66,Alexandre Lacazette,ataque,175,73
68,Romelu Lukaku,ataque,190,94
69,Christian Eriksen,ataque,180,76
71,Toby Alderweireld,defensa,187,91
73,Miralem Pjanić,central,180,72
75,Javi Martinez,defensa,190,81
76,Dimitri Payet,ataque,175,77
77,Dries Mertens,ataque,169,61
78,Sokratis,defensa,186,85
79,Marek Hamšik,central,183,79
80,Blaise Matuidi,central,175,70
82,Laurent Koscielny,defensa,186,75
83,Filipe Luís,defensa,182,77
85,Aymeric Laporte,defensa,189,85
86,Yannick Carrasco,central,180,66
87,Carvajal,defensa,173,73
88,Riyad Mahrez,central,179,62
90,Mauro Icardi,ataque,181,75
91,Lorenzo Insigne,ataque,163,59
93,Koke,central,178,74
94,Kostas Manolas,defensa,189,83
96,Nicolás Otamendi,defensa,183,81
97,Shkodran Mustafi,defensa,184,82
98,Nemanja Matić,central,194,84
99,Alex Sandro,defensa,181,76
100,Kamil Glik,defensa,190,80
101,Douglas Costa,central,170,65
102,Kevin Strootman,central,186,78
